Tarih;TOPLAM;ADANA;ADIYAMAN;AFYON;AGRI;AMASYA;ANKARA;ANTALYA;ARTVIN;AYDIN;BALIKESIR;BILECIK;BINGOL;BITLIS;BOLU;BURDUR;BURSA;CANAKKALE;CANKIRI;CORUM;DENIZLI;DIYARBAKIR;EDIRNE;ELAZIG;ERZINCAN;ERZURUM;ESKISEHIR;GAZIANTEP;GIRESUN;GUMUSHANE;HAKKARI;HATAY;ISPARTA;MERSIN;ISTANBUL;IZMIR;KARS;KASTAMONU;KAYSERI;KIRKLARELI;KIRSEHIR;KOCAELI;KONYA;KUTAHYA;MALATYA;MANISA;MARAS;MARDIN;MUGLA;MUS;NEVSEHIR;NIGDE;ORDU;RIZE;SAKARYA;SAMSUN;SIIRT;SINOP;SIVAS;TEKIRDAG;TOKAT;TRABZON;TUNCELI;URFA;USAK;VAN;YOZGAT;ZONGULDAK;AKSARAY;BAYBURT;KARAMAN;KIRIKKALE;BATMAN;SIRNAK;BARTIN;ARDAHAN;IGDIR;YALOVA;KARABUK;KILIS;OSMANIYE;DUZCE
2008/01;782.786;5.996;0;0;9.642;0;16.920;121.458;43.235;80;465;0;0;0;0;0;2.383;28;0;0;4;1;100.303;0;0;2.356;0;2.080;52;0;5.033;19.645;0;636;357.219;22.678;0;0;937;10.367;0;294;62;0;0;0;0;2.254;9.575;0;0;0;79;0;0;1.041;0;0;0;1.394;0;1.128;0;548;0;818;0;298;0;0;0;0;0;6.896;1;209;18.666;0;0;18.005;0;0
2008/02;896.482;6.169;0;0;14.390;0;19.524;152.011;42.846;83;296;0;0;0;0;0;63;114;0;0;0;0;108.488;0;0;2.013;0;2.378;69;0;4.653;16.191;0;656;431.766;24.000;0;0;1.034;13.294;0;240;51;0;0;0;0;1.900;7.985;0;0;0;163;1;0;244;0;0;0;1.598;0;1.043;0;626;0;1.235;0;320;0;0;0;0;0;8.242;4;174;19.072;0;0;13.546;0;0
2008/03;1.305.297;5.496;0;0;46.563;0;23.033;291.077;50.674;8.139;506;0;0;0;0;0;48;570;0;0;0;0;138.234;0;0;948;0;3.726;92;0;9.754;18.173;463;715;550.358;41.647;0;0;1.370;17.426;0;398;200;0;0;0;0;2.494;20.257;0;736;0;123;2;0;1.550;0;0;0;1.742;0;1.100;0;767;0;2.270;0;418;0;0;0;0;0;10.787;0;359;17.850;0;0;35.232;0;0
2008/04;1.647.903;5.991;0;0;34.457;0;24.198;473.912;57.445;25.818;852;0;0;0;0;0;100;882;0;0;0;1;166.926;0;0;29;0;4.431;168;0;5.662;18.440;0;1.760;582.780;63.460;0;0;1.478;23.793;0;291;8;0;0;0;0;2.716;77.717;0;6.403;0;80;3;0;1.575;0;742;0;1.754;0;1.359;0;804;0;1.472;0;447;0;0;0;0;0;11.411;4;702;19.436;0;0;28.396;0;0
2008/05;2.748.564;10.403;0;0;47.046;0;29.714;1.037.876;69.285;70.702;369;0;0;0;0;0;57;75;0;0;0;0;173.116;0;0;325;187;6.236;93;0;6.657;19.980;0;1.206;691.409;118.275;0;0;2.727;25.793;0;354;103;0;0;0;0;2.979;340.760;0;4.217;0;122;0;0;1.979;0;7;144;2.162;0;1.637;0;991;0;1.740;0;344;0;0;0;0;0;11.977;5;974;22.071;0;0;44.467;0;0
2008/06;3.305.832;11.868;0;0;56.354;0;52.811;1.282.239;67.264;75.438;2.148;0;0;0;0;0;90;1.772;0;0;0;0;305.595;0;0;496;234;7.069;54;0;8.082;23.281;269;2.150;668.857;140.998;0;0;5.854;30.534;0;374;2.906;0;0;0;0;3.805;460.317;0;1.414;0;443;3;0;2.960;0;3;372;1.675;0;3.731;0;1.220;0;2.222;0;409;0;0;0;0;0;14.150;2;1.181;20.663;0;0;44.525;0;0
2008/07;4.084.764;20.291;0;0;57.551;0;72.653;1.444.204;78.646;97.060;3.973;0;0;0;0;0;78;522;0;0;0;0;531.284;0;0;748;531;11.642;50;0;8.079;41.999;1.600;3.391;799.906;144.287;0;1;11.136;47.961;0;420;2.886;0;0;0;0;4.764;577.845;0;2.199;0;65;0;0;4.900;0;751;687;1.498;0;6.695;0;1.885;0;3.078;0;461;0;0;0;0;0;22.649;5;1.343;22.438;0;0;52.602;0;0
2008/08;3.762.136;14.898;0;0;52.620;0;45.238;1.430.502;81.456;102.990;6.076;0;0;0;0;0;76;460;0;0;0;5;302.988;0;0;342;390;8.284;64;0;10.552;59.291;1.834;3.684;698.331;167.162;93;0;5.380;48.789;0;316;414;0;0;0;0;5.248;594.647;0;2.359;0;82;0;0;3.004;0;786;344;1.289;0;5.454;0;1.802;0;2.971;0;344;0;0;0;0;0;28.399;4;3.583;23.718;0;0;45.867;0;0
2008/09;2.981.044;8.835;0;0;18.541;0;28.133;1.206.548;71.995;99.405;746;0;0;0;0;0;36;1.514;0;0;0;0;169.285;0;0;48;116;6.094;46;0;8.114;21.600;1.076;1.437;611.645;131.525;113;0;2.164;33.040;0;301;368;0;0;0;0;2.760;492.058;0;3.450;0;54;3;0;1.794;0;367;71;1.267;0;2.397;0;1.395;0;2.014;0;271;0;0;0;0;0;14.461;4;915;21.232;0;0;13.806;0;0
2008/10;2.462.497;8.999;0;0;61.061;0;28.135;772.849;82.845;76.893;2.416;0;0;0;0;0;83;6.266;0;0;0;0;180.078;0;0;12;117;4.766;100;0;7.205;25.696;0;1.139;691.925;108.220;104;2;3.621;26.595;0;303;221;0;0;0;0;3.294;272.426;0;5.314;0;50;0;0;2.236;0;561;8;1.484;0;5.414;0;1.845;8;1.937;0;455;0;0;0;0;0;18.330;8;990;15.643;0;0;42.843;0;0
