Tarih;ALMANYA;ARNAVUTLUK;AVUSTURYA;BELCIKA;BOSNAHERSEK;BULGARISTAN;CEKCUMHURIYETI;DANIMARKA;ESTONYA;FINLANDIYA;FRANSA;GKIBRIS;HIRVATISTAN;HOLLANDA;INGILTERE;IRLANDA;ISPANYA;ISVEC;ISVICRE;ITALYA;IZLANDA;KARADAG;KOSOVA;LETONYA;LITVANYA;LUKSEMBURG;MACARISTAN;MAKEDONYA;MALTA;NORVEC;POLONYA;PORTEKIZ;ROMANYA;SIRBISTAN;SLOVAKYA;SLOVENYA;YUNANISTAN;DAVRUPA;AVRUPATOP;AZERBAYCAN;BELARUS;ERMENISTAN;GURCISTAN;KAZAKISTAN;KIRGIZISTAN;MOLDOVACUM;OZBEKISTAN;RUSYA;TACIKISTAN;TURKMENISTAN;UKRAYNA;BDTTOPLAM;ABD;ARJANTIN;BREZILYA;KANADA;KOLOMBIYA;MEKSIKA;SILI;VENEZUELLA;DAMERIKA;AMERIKATOP;CEZAYIR;FAS;GAFRIKA;LIBYA;MISIR;SUDAN;TUNUS;DAFRIKA;AFRIKATOP;BAE;BAHREYN;BANGLADES;CIN;ENDONEZYA;FILIPINLER;GKORE;HINDISTAN;IRAK;IRAN;ISRAIL;JAPONYA;KKTC;KATAR;KUVEYT;LUBNAN;MALEZYA;PAKISTAN;SINGAPUR;SURIYE;SUUDARABISTAN;TAYLAND;URDUN;YEMEN;DASYA;ASYATOP;AVUSTRALYA;YENIZELLANDA;OKYANUSYA;MILLIYESIZ;GTOPLAM
2008/01;177.233;2.811;20.207;12.389;2.546;99.048;1.824;5.613;426;1.921;30.796;296;2.354;32.012;35.215;2.086;7.724;8.156;9.655;24.918;72;0;0;1.126;1.076;164;2.266;5.480;114;3.488;4.543;810;16.966;8.449;883;1.279;27.656;91;551.693;29.978;1.764;2.500;40.517;6.059;3.859;7.769;3.431;52.741;2.965;5.221;20.789;177.593;22.581;662;1.442;3.670;277;720;185;494;1.590;31.621;3.719;2.088;586;2.526;2.320;329;2.541;1.164;15.273;568;194;226;3.848;545;1.248;13.933;2.825;8.771;29.120;16.500;10.985;10.696;91;275;1.836;1.153;1.858;736;24.464;721;563;2.787;116;2.921;136.980;4.823;497;3;1.056;919.539
2008/02;143.666;2.604;16.295;11.309;2.342;82.707;2.064;5.464;515;1.723;29.228;369;1.738;23.565;33.385;1.723;8.331;5.808;8.947;15.204;99;0;0;1.309;1.198;155;2.281;5.253;110;3.203;5.009;999;21.941;7.248;1.379;1.378;21.990;60;470.599;33.028;2.999;3.586;43.820;8.777;3.398;9.322;4.520;46.999;4.837;5.407;21.474;188.167;18.562;612;1.446;2.981;107;546;554;125;1.895;26.828;2.825;2.094;578;1.871;3.201;220;2.216;1.600;14.605;252;166;357;4.972;486;2.018;10.652;2.688;10.418;36.619;19.408;11.197;15.090;105;478;1.719;1.679;1.685;909;24.949;1.499;516;2.594;299;3.191;153.946;3.254;394;11;947;858.751
2008/03;249.797;3.626;23.558;21.097;2.952;102.877;2.524;11.288;695;4.142;36.832;435;2.649;34.660;46.445;3.593;27.664;11.248;13.368;25.805;367;0;0;2.050;2.262;341;3.085;5.930;280;8.424;5.100;1.849;21.451;8.441;1.408;1.322;44.384;145;732.094;37.111;3.040;3.731;49.739;8.070;3.597;10.433;4.133;52.034;6.169;6.562;23.654;208.273;29.479;789;1.318;5.090;238;1.430;248;412;1.857;40.861;3.936;2.338;1.077;2.672;3.412;336;3.684;1.709;19.164;605;247;245;4.014;910;2.040;8.717;4.180;13.165;81.837;29.858;12.858;11.621;113;256;2.842;2.424;1.800;1.117;27.203;1.016;1.003;3.280;287;4.073;215.711;3.571;592;69;1.233;1.221.568
2008/04;242.531;3.219;22.668;30.772;3.539;110.627;4.198;10.878;1.098;7.661;73.221;527;2.384;47.950;85.841;3.846;20.599;14.843;14.681;34.936;622;0;0;2.251;3.400;394;3.974;7.985;259;9.692;9.547;2.006;26.194;9.357;1.957;1.910;46.099;133;861.799;35.267;4.130;4.011;57.554;8.178;3.474;11.654;3.991;64.565;4.361;6.825;29.568;233.578;38.922;916;2.387;7.395;283;1.501;527;469;2.235;54.635;4.898;2.774;1.267;3.172;3.441;330;2.877;1.826;20.585;405;232;224;4.586;1.149;1.971;12.782;4.201;12.539;63.238;50.992;11.516;14.283;158;896;3.939;1.840;1.746;1.302;27.704;2.074;1.081;3.455;331;4.547;227.191;10.084;2.249;70;1.304;1.411.495
2008/05;399.724;4.156;32.265;50.483;4.709;148.642;9.286;26.008;4.508;12.479;85.549;888;2.997;183.312;203.340;11.936;31.934;47.482;22.433;58.499;463;0;0;6.950;14.423;2.813;5.364;8.042;242;22.667;34.855;3.393;32.095;11.950;2.815;3.649;51.656;170;1.542.177;39.946;14.623;4.756;70.673;12.683;3.678;15.074;4.645;284.720;3.873;6.740;90.428;551.839;80.430;2.358;5.157;18.578;488;2.287;1.094;744;3.368;114.504;5.284;3.274;2.244;3.379;4.073;562;4.135;2.807;25.758;617;323;267;6.100;1.500;2.456;12.960;6.783;13.530;87.791;40.665;13.258;15.258;154;884;2.565;2.614;2.659;1.693;30.869;2.025;1.005;4.336;444;7.854;258.610;13.011;2.606;11;1.481;2.509.997
2008/06;364.145;4.862;44.762;54.415;6.093;142.896;22.824;29.591;4.649;12.565;76.481;898;2.500;99.473;289.104;17.955;31.267;53.109;18.824;72.876;2.065;0;0;7.551;15.560;606;10.138;8.830;262;33.896;48.630;4.058;47.225;15.247;9.278;3.558;54.939;230;1.611.362;42.237;26.816;4.966;65.192;29.542;3.946;18.089;5.261;514.984;2.703;6.800;100.126;820.662;79.917;2.363;4.340;12.684;656;2.787;1.012;789;4.963;109.511;4.792;3.460;2.227;3.695;3.697;931;3.874;2.750;25.426;1.458;520;356;5.286;1.914;2.935;9.905;6.551;15.714;114.615;62.607;15.348;16.010;272;1.707;4.338;2.837;3.196;2.200;32.572;2.758;779;7.329;426;6.653;318.286;13.024;2.687;11;1.979;2.902.948
2008/07;519.849;9.718;69.174;102.714;8.854;149.194;30.617;62.271;5.602;11.532;85.688;2.021;3.057;150.207;319.087;19.555;40.266;63.953;32.838;56.925;1.535;0;0;7.104;13.140;617;19.674;13.902;284;53.710;88.223;4.286;64.272;27.820;16.411;6.498;59.103;289;2.119.990;45.003;28.474;7.434;78.527;40.577;3.800;16.215;6.464;492.831;1.720;7.422;115.681;844.148;88.506;1.823;6.810;15.903;1.080;4.865;995;1.196;5.699;126.877;5.652;4.296;3.080;4.280;6.547;693;4.375;2.520;31.443;5.205;1.987;455;5.981;2.139;2.703;9.963;5.464;24.817;131.540;74.018;12.434;26.611;1.110;4.919;6.908;1.290;3.279;1.167;43.426;9.587;773;15.335;635;9.522;401.268;15.074;3.337;17;3.641;3.545.795
2008/08;728.774;12.534;145.205;130.769;9.554;151.924;29.955;54.233;4.944;12.711;214.137;2.449;3.559;264.823;407.541;22.768;61.573;73.364;39.798;118.514;1.241;0;0;8.165;13.492;1.866;17.459;17.517;701;46.532;75.398;7.087;74.831;33.703;15.643;5.127;78.378;320;2.886.589;50.770;26.422;11.448;74.194;44.402;4.301;18.118;7.769;519.843;2.229;8.625;122.470;890.591;72.971;1.733;3.394;17.635;536;2.139;844;1.672;18.798;119.722;10.636;7.853;2.811;5.921;9.879;938;4.970;3.196;46.204;6.662;2.953;263;4.436;1.409;2.755;11.840;4.733;36.140;138.798;94.919;14.709;31.024;2.071;7.797;10.943;1.439;4.026;846;52.328;24.972;954;16.285;1.005;8.416;481.723;17.875;2.842;36;4.499;4.450.081
2008/09;536.884;8.984;49.996;79.138;5.396;162.861;29.933;29.362;4.904;13.371;91.247;942;2.959;112.516;379.733;17.734;49.169;52.801;23.819;78.671;1.505;0;0;9.018;13.315;2.368;14.293;8.531;545;31.442;76.987;5.578;77.961;21.023;12.900;4.852;46.000;188;2.056.926;45.102;23.578;6.099;89.446;25.964;4.324;14.402;6.443;470.108;1.621;7.562;105.407;800.056;81.973;3.217;6.771;24.987;942;3.483;1.513;1.383;4.059;128.328;3.606;1.910;2.837;2.996;2.417;415;2.574;2.263;19.018;203;147;305;4.652;873;2.182;7.871;3.839;19.627;78.846;56.984;12.538;16.305;61;817;5.198;1.372;2.369;1.428;30.797;2.499;780;2.881;261;5.931;258.766;18.352;3.450;26;2.076;3.286.998
2008/10;601.367;3.890;41.668;50.641;5.870;124.976;19.544;31.031;4.675;17.983;72.609;590;3.568;153.989;282.241;9.139;29.180;50.970;48.230;59.175;1.110;0;0;8.497;10.640;767;10.013;7.909;274;27.144;38.010;2.778;28.553;11.982;3.411;4.458;53.522;300;1.820.704;30.453;15.467;5.843;81.277;14.063;4.221;10.170;5.896;251.660;1.419;7.813;65.694;493.976;98.928;2.718;6.931;28.320;769;4.976;787;1.398;3.552;148.379;5.210;3.500;2.215;3.563;5.819;704;2.851;2.391;26.253;922;490;420;5.319;1.892;3.008;9.284;4.804;20.409;114.934;68.385;13.745;15.384;261;1.094;5.066;2.976;2.592;2.056;35.187;4.056;1.331;6.945;473;7.562;328.595;16.315;3.346;11;2.394;2.839.973
