TARIH;MAL_TURU;MAL_ADI;BIRIM;ASGARI_UCRET;AZAMI_UCRET
2021-01-02 00:00:00;BALIK;TIRSI (DENİZ);KG;5.83;12.5
2021-01-02 00:00:00;BALIK;KIRLANGIÇ (DENİZ);KG;3.0;80.0
2021-01-02 00:00:00;BALIK;ÇİMÇİM (DENİZ);KG;3.5;8.0
2021-01-02 00:00:00;BALIK;HANOS ( DENİZ );KG;2.5;5.0
2021-01-02 00:00:00;BALIK;KILIÇ (DENİZ);KG;45.0;45.0
2021-01-02 00:00:00;BALIK;LÜFER ( DENİZ);KG;130.0;130.0
2021-01-02 00:00:00;BALIK;USKUMRU (DENİZ);KG;38.0;38.0
2021-01-02 00:00:00;KÜLTÜR;LEVREK ( KÜLTÜR );KG;25.0;55.0
2021-01-02 00:00:00;BALIK;KÖPEK (DENİZ);KG;10.0;10.0
2021-01-02 00:00:00;BALIK;ISTAVRIT (DENİZ);KG;2.5;6.67
2021-01-02 00:00:00;BALIK;IZMARIT (DENİZ);KG;3.0;6.0
2021-01-02 00:00:00;BALIK;KALAMAR (DENİZ);KG;90.0;120.0
2021-01-02 00:00:00;BALIK;SÜBYE (DENİZ);KG;10.0;25.0
2021-01-02 00:00:00;BALIK;HAMSI (DENİZ);KG;2.08;16.67
2021-01-02 00:00:00;BALIK;KOLYOZ (DENİZ);KG;8.33;16.67
2021-01-02 00:00:00;BALIK;LİDAKİ (DENİZ);KG;5.0;13.0
2021-01-02 00:00:00;BALIK;PALAMUT-TORİK (DENİZ;ADET;35.0;35.0
2021-01-02 00:00:00;BALIK;KEREVİT ( DENİZ );KG;1.5;5.0
2021-01-02 00:00:00;BALIK;MEZGİT (DENİZ);KG;3.0;6.0
2021-01-02 00:00:00;BALIK;SOKKAN(DENİZ);KG;20.0;20.0
2021-01-02 00:00:00;BALIK;BARBUN (TEKİR);KG;10.0;50.0
2021-01-02 00:00:00;BALIK;KOLORİT(DENİZ);KG;14.0;14.0
2021-01-02 00:00:00;BALIK;DIL;KG;20.0;130.0
2021-01-02 00:00:00;BALIK;BARBUN(KAYA);KG;50.0;120.0
2021-01-02 00:00:00;BALIK;ÇIPURA (DENİZ);KG;50.0;75.0
2021-01-02 00:00:00;BALIK;YENGEÇ (DENİZ);KG;7.0;7.0
2021-01-02 00:00:00;BALIK;SARPA (DENİZ);KG;7.0;12.0
